Date,債券ETF,債券型ETF,債券ETF是什麼,債券ETF有哪些,債券ETF推薦,債券ETF比較,債券ETF怎麼選,債券ETF怎麼買,美國公債ETF,美債ETF,公債ETF,投資級公司債ETF,非投資級債ETF,新興市場債ETF,新興市場投資級債ETF,新興市場公司債ETF,美元債ETF,企業債ETF,長債ETF,長天期美債ETF,20年美債ETF,美國20年公債ETF,亞洲債券ETF,美國高收益債ETF,海外債券ETF,美元公司債ETF,債券ETF殖利率,債券ETF報酬率,月配債券ETF,高配息債券ETF,高息債券ETF,美債ETF配息,美債ETF殖利率,投資級債ETF配息,投資級債ETF殖利率,債券ETF配息排行,降息債券ETF,降息長債,利率債券ETF,聯準會降息美債,美國降息債券ETF,降息長天期債券ETF,債券ETF風險,債券ETF匯率風險,債券ETF利率風險,債券ETF信用風險,債券ETF會賠錢嗎,債券ETF推薦比較,美債ETF推薦,00679B,00726B,國泰新興投等債,國泰優選非投等債,00734B,00754B,復華能源債,復華製藥債,00760B,復華新興企業債
2022-09-25,22,0,0,0,0,0,0,0,37,11,39,0,0,0,0,0,0,,0,,0,52,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,57,0,0,0,0,,0,,0,,0,13,0,0,0,,0,0,0,0,0
2022-10-02,24,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,17,0,0,0,,0,0,0,0,0
2022-10-09,14,0,0,0,0,0,0,0,27,9,23,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,12,0,0,0,,0,0,0,0,0
2022-10-16,26,0,0,0,37,0,0,0,0,9,35,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,16,0,0,0,,0,0,0,0,0
2022-10-23,23,0,0,0,0,0,0,0,28,7,28,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,100,,0,17,0,0,0,,0,0,0,0,0
2022-10-30,24,0,0,0,0,0,0,0,23,9,35,0,0,0,0,0,0,,0,,16,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,19,0,0,0,,0,0,0,0,0
2022-11-06,25,0,0,0,0,0,0,0,34,9,33,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,24,0,0,0,,0,0,0,0,0
2022-11-13,29,0,0,0,0,0,0,0,46,9,36,0,0,0,0,0,0,,0,,19,58,,0,74,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,29,0,0,0,,0,0,0,0,0
2022-11-20,23,43,0,0,0,0,0,0,0,9,23,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,51,0,0,0,0,,0,,0,,0,19,0,0,0,,0,0,0,0,0
2022-11-27,26,0,0,0,0,0,0,0,0,10,29,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,17,0,0,0,,0,0,0,0,0
2022-12-04,20,0,0,0,0,0,0,0,26,11,26,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,41,0,0,,0,0,0,0,0,0,0,,0,,0,,0,21,0,0,0,,0,0,0,0,0
2022-12-11,25,0,0,0,0,0,0,0,58,14,49,0,0,0,0,0,0,,0,,18,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,20,0,0,0,,0,0,0,0,0
2022-12-18,32,0,0,0,0,0,0,0,29,12,28,0,0,0,0,0,0,,0,,17,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,26,0,0,0,,0,0,0,0,0
2022-12-25,32,0,0,0,0,0,0,0,45,13,34,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,29,0,0,0,,0,0,0,0,0
2023-01-01,38,0,0,0,0,0,0,0,32,13,29,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,83,0,0,0,0,,0,,0,,0,24,0,0,0,,0,0,0,0,0
2023-01-08,44,0,0,0,0,0,0,0,30,11,32,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,30,0,0,0,,0,0,0,0,0
2023-01-15,34,0,0,0,0,0,0,0,26,10,23,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,19,0,0,0,,0,0,0,0,0
2023-01-22,22,0,0,0,0,0,0,0,29,11,24,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,10,0,0,0,,0,0,0,0,0
2023-01-29,36,0,0,0,0,0,0,0,32,14,34,0,0,0,0,0,0,,0,,21,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,33,0,0,0,,0,0,0,0,0
2023-02-05,45,0,0,0,34,0,0,0,42,16,23,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,35,0,0,0,,0,0,0,52,0
2023-02-12,62,56,0,74,31,0,0,0,39,23,38,0,0,0,0,0,0,,0,,25,0,,0,0,0,45,0,0,0,0,0,0,0,0,,0,0,86,0,0,0,0,,0,,0,,0,56,0,0,0,,0,0,0,74,0
2023-02-19,60,0,0,0,41,0,0,0,57,24,54,0,0,0,0,0,0,,0,,31,0,,0,0,0,48,0,0,0,0,0,0,0,0,,0,0,83,0,0,0,0,,0,,0,,0,48,0,0,0,,0,0,0,100,0
2023-02-26,47,0,0,0,34,0,0,0,43,16,52,0,0,0,0,0,0,,0,,15,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,41,0,0,0,,0,0,0,23,0
2023-03-05,49,38,0,60,27,0,0,0,75,16,67,0,0,0,0,0,100,,0,,0,0,,0,0,0,50,0,0,0,0,0,0,0,0,,0,0,66,0,0,0,0,,0,,0,,0,41,0,0,0,,0,0,0,0,0
2023-03-12,39,0,0,0,0,0,0,0,56,21,57,0,0,0,0,0,0,,0,,18,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,52,0,0,0,,0,0,0,0,0
2023-03-19,42,0,0,0,0,0,0,0,55,20,50,0,0,0,0,0,0,,0,,19,0,,0,0,0,37,0,0,0,0,0,0,0,0,,0,0,54,0,0,0,0,,0,,0,,0,44,0,0,0,,0,0,0,0,0
2023-03-26,38,0,0,0,0,0,0,0,0,14,37,0,0,0,0,0,0,,0,,16,0,,0,0,0,49,0,0,0,0,0,0,0,0,,0,0,49,0,0,0,0,,0,,0,,0,41,0,0,0,,0,0,0,0,0
2023-04-02,28,0,0,0,0,0,0,0,0,18,43,0,0,0,0,0,0,,0,,21,66,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,46,0,0,0,,0,0,0,0,0
2023-04-09,45,0,0,0,33,0,0,0,57,23,50,0,0,0,0,0,0,,0,,21,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,59,0,0,0,,0,0,0,0,0
2023-04-16,58,0,0,0,33,0,0,0,56,27,58,0,0,0,0,0,0,,0,,40,55,,0,0,0,0,77,0,0,0,0,0,0,0,,0,0,50,0,0,0,0,,0,,0,,0,64,0,0,0,,0,0,0,0,0
2023-04-23,51,42,0,0,28,0,0,0,33,19,33,0,0,0,0,0,0,,0,,24,50,,0,0,0,38,0,0,0,0,0,0,0,0,,0,0,71,0,0,0,0,,0,,0,,0,47,0,0,0,,0,0,0,0,0
2023-04-30,46,0,0,0,29,0,0,0,53,25,48,0,0,0,0,0,0,,0,,41,61,,0,0,0,0,0,0,0,0,0,35,0,0,,0,0,59,0,0,0,0,,0,,0,,0,61,0,0,0,,0,0,0,0,0
2023-05-07,49,0,0,0,34,0,0,0,37,28,36,0,0,0,0,0,0,,0,,40,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,61,0,0,0,0,,0,,0,,0,61,48,0,0,,0,0,0,41,0
2023-05-14,46,0,0,0,0,0,0,0,57,30,47,0,0,0,0,0,0,,0,,51,47,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,40,68,0,0,0,,0,0,0,0,0
2023-05-21,46,0,0,0,0,0,0,0,46,37,48,0,0,0,0,0,0,,0,,64,61,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,81,0,0,0,,0,0,0,0,0
2023-05-28,51,34,0,0,27,0,0,0,57,29,44,0,0,0,0,0,0,,0,,43,54,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,64,0,0,0,0,,0,,0,,68,70,0,0,0,,0,0,0,0,0
2023-06-04,49,0,0,0,27,0,0,0,53,31,56,0,0,0,0,0,0,,0,,49,0,,0,0,0,0,0,0,0,0,0,33,0,0,,0,0,71,0,0,0,0,,0,,0,,0,79,0,0,0,,0,0,0,0,0
2023-06-11,41,0,0,0,0,0,0,0,48,29,49,0,0,0,0,0,0,,0,,43,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,56,0,0,0,,0,0,0,0,0
2023-06-18,38,0,0,0,0,0,0,0,36,22,37,0,0,0,0,0,0,,0,,23,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,40,0,0,0,,0,0,0,0,0
2023-06-25,38,0,0,0,30,0,0,82,32,25,37,0,0,0,0,0,0,,0,,29,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,49,0,0,0,0,,0,,0,,0,46,0,0,0,,0,0,0,0,0
2023-07-02,43,0,0,0,29,0,0,0,55,32,49,0,0,0,0,0,0,,0,,19,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,57,0,0,0,0,,0,,0,,0,50,0,0,0,,0,0,0,0,0
2023-07-09,52,0,0,0,29,0,0,0,68,45,84,0,0,0,100,0,0,,0,,76,0,,0,0,0,46,0,0,0,0,0,38,0,0,,0,0,68,0,0,0,0,,0,,0,,0,54,0,0,0,,0,0,0,0,0
2023-07-16,56,0,0,0,43,0,0,0,78,40,75,0,0,0,0,0,0,,62,,67,65,,0,0,0,0,0,0,0,0,0,39,0,0,,0,0,61,0,0,0,0,,0,,0,,0,57,0,0,0,,0,0,0,0,0
