Date,產業ETF,產業ETF推薦,產業ETF比較,產業ETF怎麼選,ETF怎麼選,ETF申購,半導體ETF風險,半導體庫存,半導體漲價,AI股修正,人形機器人ETF,綠能ETF,生技新藥,軍工ETF,航運ETF,能源ETF,金融ETF,5G ETF,新能源ETF,醫療ETF,ETF規模,ETF規模創新高,ETF單位數,ETF折溢價,ETF溢價過高,ETF淨值,ETF資金流入,科技ETF資金流入,ETF泡沫,ETF追高,ETF套牢,現在買半導體ETF會不會太晚,科技股修正,半導體下跌,AI ETF風險,產業ETF風險,產業ETF會賠錢嗎,ETF調整成分股,ETF換股,ETF調節,科技ETF成分股,產業ETF成分股,ETF換股名單,00892,富邦台灣半導體,00891,00935,野村台灣新科技50,中信綠能電動車,00935 除息,00893 淨值,00892 vs 00904,00891 vs 00892
2022-08-21,0,,0,0,0,0,0,0,0,0,0,0,54,0,0,0,26,34,0,0,11,0,0,0,,17,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,24,0,16,0,0,0,0,0,0,
2022-08-28,0,,0,0,0,0,0,0,0,0,0,0,66,0,0,0,13,0,0,0,11,0,0,0,,20,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,25,0,16,0,0,0,0,32,0,
2022-09-04,0,,0,0,0,0,0,0,0,0,0,0,53,0,0,0,13,0,0,0,0,0,0,0,,16,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,24,0,12,0,0,0,0,0,0,
2022-09-11,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,11,0,0,0,,16,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,23,0,17,0,0,0,0,0,0,
2022-09-18,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,10,0,0,0,,16,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,26,0,15,0,0,0,0,33,0,
2022-09-25,0,,0,0,0,0,0,0,0,0,0,0,51,0,0,0,17,36,0,0,15,0,0,0,,24,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,30,0,17,0,0,0,0,31,0,
2022-10-02,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,52,0,0,14,0,0,0,,22,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,28,0,15,0,0,0,0,0,0,
2022-10-09,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,,18,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,25,0,12,0,0,0,0,0,0,
2022-10-16,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,9,0,0,0,,22,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,22,0,13,0,0,0,0,0,0,
2022-10-23,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,,21,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,12,0,14,0,0,0,0,0,0,
2022-10-30,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,,22,0,0,0,,0,0,100,0,0,,0,0,0,0,0,0,,38,0,23,0,0,0,0,0,0,
2022-11-06,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,39,12,0,0,0,0,0,0,0,,19,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,34,34,16,0,0,0,0,0,0,
2022-11-13,0,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,11,0,0,0,,23,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,36,44,16,0,0,0,0,0,0,
2022-11-20,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,,16,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,26,0,14,0,0,0,0,0,0,
2022-11-27,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,36,0,0,12,0,0,0,,19,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,18,0,13,0,0,0,0,0,0,
2022-12-04,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,,24,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,16,0,14,0,0,0,0,0,0,
2022-12-11,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,8,0,0,0,,19,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,15,0,12,0,0,0,0,0,0,
2022-12-18,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13,0,0,0,14,0,0,0,,14,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,22,0,11,0,0,0,0,38,0,
2022-12-25,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,,21,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,22,0,11,0,0,0,0,0,0,
2023-01-01,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,15,0,7,0,0,0,0,0,0,
2023-01-08,48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,12,0,0,0,,18,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,23,0,11,0,0,0,0,0,0,
2023-01-15,0,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,,18,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,10,0,6,0,0,0,0,0,0,
2023-01-22,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,,11,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,2,0,0,0,0,0,0,
2023-01-29,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,16,0,0,0,,24,0,0,0,,0,0,0,0,0,,100,0,0,0,0,0,,35,0,20,0,0,0,0,40,0,
2023-02-05,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,14,0,0,0,,23,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,36,0,15,0,0,0,0,0,0,
2023-02-12,0,,0,0,0,0,0,0,41,0,0,0,0,0,0,0,22,0,0,0,17,0,0,23,,21,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,25,0,18,0,0,0,0,0,0,
2023-02-19,0,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,20,0,0,0,17,0,0,15,,30,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,25,0,13,0,0,16,0,63,0,
2023-02-26,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,13,0,0,0,,21,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,22,0,8,0,0,0,0,0,0,
2023-03-05,0,,0,0,0,5,0,0,0,0,0,0,56,0,0,0,24,0,0,0,13,0,0,0,,28,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,31,0,12,0,0,17,0,0,0,
2023-03-12,0,,0,0,0,0,0,0,0,0,0,0,49,0,0,0,40,0,0,0,10,0,0,21,,30,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,24,0,12,0,0,0,0,0,0,
2023-03-19,0,,0,0,0,0,0,0,0,0,0,0,50,0,0,0,29,0,0,0,17,0,0,0,,28,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,19,0,12,0,0,17,0,0,0,
2023-03-26,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,15,0,0,0,,21,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,21,0,9,0,0,0,0,0,0,
2023-04-02,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,10,0,0,0,,16,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,9,43,6,0,0,0,0,0,0,
2023-04-09,0,,0,0,0,0,0,0,0,0,0,0,51,0,0,0,15,0,0,0,11,0,0,0,,24,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,18,0,10,0,0,0,0,0,0,
